City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
167,Kodiak,US,2023-01-22 17:23:40,57.79,-152.4072,36.91,93,100,26.46
168,Aasiaat,GL,2023-01-22 17:23:40,68.7098,-52.8699,-5.42,98,100,17.83
169,Asau,RO,2023-01-22 17:23:41,46.4333,26.4,40.28,95,100,2.19
170,Cayenne,GF,2023-01-22 17:23:41,4.9333,-52.3333,82.44,74,75,16.11
171,Severnoye,RU,2023-01-22 17:23:42,56.3491,78.3619,15.04,95,100,9.64
172,Bichena,ET,2023-01-22 17:23:42,10.45,38.2,63.93,30,33,3.94
173,Saskylakh,RU,2023-01-22 17:23:42,71.9167,114.0833,-32.26,87,98,2.86
174,Tura,IN,2023-01-22 17:23:43,25.5198,90.2201,58.73,46,0,4.12
175,Atar,MR,2023-01-22 17:23:43,20.5169,-13.0499,82.45,12,2,11.14
176,Rocha,UY,2023-01-22 17:20:23,-34.4833,-54.3333,89.67,27,0,18.32
177,Nome,US,2023-01-22 17:23:44,64.5011,-165.4064,-9.33,70,0,16.11
178,Mahebourg,MU,2023-01-22 17:23:44,-20.4081,57.7,79.25,83,75,3.44
179,Hervey Bay,AU,2023-01-22 17:23:44,-25.2986,152.8535,74.1,74,1,6.76
180,Flinders,AU,2023-01-22 17:24:45,-34.5833,150.8552,64.18,92,100,3.0
181,Pyra,RU,2023-01-22 17:24:45,56.2953,43.3527,22.71,97,100,2.33
182,Hvolsvollur,IS,2023-01-22 17:24:45,63.7533,-20.2243,36.27,60,79,29.42
183,Kruisfontein,ZA,2023-01-22 17:24:46,-34.0033,24.7314,71.89,69,39,5.39
184,Hofn,IS,2023-01-22 17:24:46,64.2539,-15.2082,36.1,54,23,38.03
185,Saint-Georges,GD,2023-01-22 17:24:46,12.0564,-61.7485,83.88,65,40,24.16
186,Aljubarrota,PT,2023-01-22 17:24:47,39.5672,-8.9293,54.1,62,19,4.05
187,Ayaviri,PE,2023-01-22 17:24:47,-14.8864,-70.5889,60.84,27,48,6.33
188,Shizunai,JP,2023-01-22 17:24:47,42.3339,142.3669,20.01,68,69,12.64
189,Tabou,CI,2023-01-22 17:24:48,4.423,-7.3528,82.54,74,42,8.93
190,Mason City,US,2023-01-22 17:23:56,43.1536,-93.201,23.58,89,100,6.91
191,Nahavand,IR,2023-01-22 17:24:48,34.1885,48.377,28.56,90,35,3.13
192,Alice Springs,AU,2023-01-22 17:24:48,-23.7,133.8833,63.95,55,0,0.0
193,Geilo,NO,2023-01-22 17:24:49,60.5333,8.2076,18.39,57,0,9.1
194,Chuy,UY,2023-01-22 17:24:49,-33.6971,-53.4616,84.76,47,0,15.32
195,Manicore,BR,2023-01-22 17:24:49,-5.8092,-61.3003,85.95,70,40,4.61
196,Mnogovershinnyy,RU,2023-01-22 17:24:50,53.9353,139.9242,-26.81,90,94,4.81
197,Petropavlovsk-Kamchatskiy,RU,2023-01-22 17:24:50,53.0452,158.6483,-8.23,64,20,8.95
198,Anadyr,RU,2023-01-22 17:24:50,64.75,177.4833,-10.7,69,0,6.71
199,Tomakivka,UA,2023-01-22 17:24:51,47.8157,34.7414,32.9,85,31,8.34
200,Roebourne,AU,2023-01-22 17:24:51,-20.7833,117.1333,84.72,56,71,10.45
201,Karratha,AU,2023-01-22 17:24:51,-20.7377,116.8463,83.86,60,82,10.36
202,Kulhudhuffushi,MV,2023-01-22 17:24:52,6.6221,73.07,79.88,76,88,10.96
203,Rovaniemi,FI,2023-01-22 17:24:52,66.5,25.7167,27.81,93,100,18.41
204,Norman Wells,CA,2023-01-22 17:24:52,65.282,-126.8329,-2.16,84,100,0.0
205,Kalat,PK,2023-01-22 17:24:53,29.0225,66.5916,28.0,64,0,3.83
206,Kango,GA,2023-01-22 17:24:53,0.1943,10.0951,81.1,83,68,3.78
207,Cockburn Town,TC,2023-01-22 17:24:53,21.4612,-71.1419,80.56,61,40,19.57
208,Tanhacu,BR,2023-01-22 17:24:54,-14.0214,-41.2481,74.05,86,100,4.76
209,Manama,BH,2023-01-22 17:21:35,26.2154,50.5832,66.18,74,0,3.44
210,Araouane,ML,2023-01-22 17:21:11,18.9048,-3.5265,81.75,9,0,8.03
211,Port Augusta,AU,2023-01-22 17:24:54,-32.5,137.7667,69.39,67,19,11.12
212,Saint-Denis,FR,2023-01-22 17:22:41,48.9167,2.3333,36.36,80,0,12.66
213,Yeppoon,AU,2023-01-22 17:24:55,-23.1333,150.7333,73.18,79,9,8.81
214,Astoria,US,2023-01-22 17:20:35,46.1879,-123.8313,46.85,72,100,4.61
215,Narsaq,GL,2023-01-22 17:24:55,60.9167,-46.05,8.82,66,8,9.44
216,Tilichiki,RU,2023-01-22 17:24:55,60.4667,166.1,16.57,75,100,40.98
217,Woodward,US,2023-01-22 17:24:56,36.4337,-99.3904,38.97,68,0,6.91
218,Shubarshi,KZ,2023-01-22 17:24:56,48.5872,57.1869,12.04,78,0,4.5
219,Necochea,AR,2023-01-22 17:24:56,-38.5473,-58.7368,77.92,47,0,23.31
220,Iqaluit,CA,2023-01-22 17:24:57,63.7506,-68.5145,8.33,92,75,5.75
221,Nantucket,US,2023-01-22 17:24:57,41.2835,-70.0995,39.31,74,100,6.91
222,Haines Junction,CA,2023-01-22 17:24:58,60.7522,-137.5108,16.81,98,100,2.93
223,Beloha,MG,2023-01-22 17:24:58,-25.1667,45.05,77.07,78,27,19.48
